,Gene names,Tissue,Pathway,CellularLocation,Enzymename,EnzymeType,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Substrate,Product,Cofactor,Inhibitor,ChebiID,pH,Temperature,KeggReactionID,ReactionEquation,KineticMechanismType
44337,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,concentration,GST-GAR,0.0166,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44340,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,concentration,Enzyme,0.0083,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44343,PRMT8,brain,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",Methyltransferases,wildtype PRMT8-GST fusion protein,Km,S-Adenosyl-L-methionine,2.1e-06,,-,M,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44346,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,concentration,S-Adenosyl-L-methionine,0.0,9e-06,-,M,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44350,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,Vmax,,1.91666667e-09,,-,mol*s^(-1)*g^(-1),S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44354,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,Km,S-Adenosyl-L-methionine,3.5e-07,,-,M,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44358,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,concentration,GST-GAR,0.0166,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
44362,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",Methyltransferases,wildtype PRMT1-GST fusion protein,concentration,Enzyme,0.0083,,-,mg/ml,S-Adenosyl-L-methionine;GST-GAR,Methylated GST-GAR;S-Adenosyl-L-homocysteine,,,33442;15414;16680,7.5,37.0,,GST-GAR + S-Adenosyl-L-methionine = Methylated GST-GAR + S-Adenosyl-L-homocysteine,unknown
47464,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,concentration,Enzyme,1e-07,,-,M,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,16680;33442;15414,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47468,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,concentration,S-Adenosyl-L-methionine,0.0001,,-,M,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,16680;33442;15414,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47472,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,concentration,GRGGFGGRGGFRGGRGG-NH2,0.0,5e-06,-,M,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,16680;33442;15414,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47476,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,kcat/Km,GRGGFGGRGGFRGGRGG-NH2,8100.0,,-,M^(-1)*s^(-1),GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,16680;33442;15414,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47480,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,Km,GRGGFGGRGGFRGGRGG-NH2,8e-07,,-,M,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,16680;33442;15414,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47484,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,Vmax,,6.66666667e-10,,-,M*s^(-1),GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,16680;33442;15414,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47488,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,kcat,,0.0065,,-,s^(-1),GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,16680;33442;15414,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47506,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,Kd,S-Adenosyl-L-methionine,1.1e-06,,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47510,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,concentration,S-Adenosyl-L-methionine,1e-05,,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47514,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,Vmax,,6.66666667e-10,,-,M*s^(-1),S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47518,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,concentration,GRGGFGGRGGFRGGRGG-NH2,1e-06,,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47522,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,concentration,S-Adenosyl-L-homocysteine,0.0,0.0001,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47526,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,concentration,Enzyme,1e-07,,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47530,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,Km,GRGGFGGRGGFRGGRGG-NH2,8e-07,,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47534,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,Ki,S-Adenosyl-L-homocysteine,8e-07,,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47538,PRMT1,-,,"[unknown, unknown, unknown, unknown, unknown]",histone-arginine N-methyltransferase,wildtype GST-PRMT1,Ki,S-Adenosyl-L-homocysteine,8.599999999999999e-06,,-,M,S-Adenosyl-L-methionine;GRGGFGGRGGFRGGRGG-NH2,S-Adenosyl-L-homocysteine;GRGGFGGRGGFRGGRGG-methyl-arginine,,,33442;15414;16680,7.4,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Competitive product inhibition
47560,PRMT8,293T cell,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",histone-arginine N-methyltransferase,wildtype GST-PRMT8,Km,GRGGFGGRGGFRGGRGG-NH2,1.3e-06,,-,M,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,GRGGFGGRGGFRGGRGG-methyl-arginine;S-Adenosyl-L-homocysteine,,,33442;15414;16680,8.0,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47563,PRMT8,293T cell,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",histone-arginine N-methyltransferase,wildtype GST-PRMT8,concentration,S-Adenosyl-L-methionine,0.0005,,-,M,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,GRGGFGGRGGFRGGRGG-methyl-arginine;S-Adenosyl-L-homocysteine,,,33442;15414;16680,8.0,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47566,PRMT8,293T cell,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",histone-arginine N-methyltransferase,wildtype GST-PRMT8,kcat/Km,GRGGFGGRGGFRGGRGG-NH2,2.8e-10,,-,M*s^(-1),GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,GRGGFGGRGGFRGGRGG-methyl-arginine;S-Adenosyl-L-homocysteine,,,33442;15414;16680,8.0,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47569,PRMT8,293T cell,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",histone-arginine N-methyltransferase,wildtype GST-PRMT8,Vmax,,,,-,-,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,GRGGFGGRGGFRGGRGG-methyl-arginine;S-Adenosyl-L-homocysteine,,,33442;15414;16680,8.0,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47572,PRMT8,293T cell,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",histone-arginine N-methyltransferase,wildtype GST-PRMT8,concentration,Enzyme,0.02,,-,mg/ml,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,GRGGFGGRGGFRGGRGG-methyl-arginine;S-Adenosyl-L-homocysteine,,,33442;15414;16680,8.0,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
47575,PRMT8,293T cell,,"[plasma membrane, plasma membrane, plasma membrane, plasma membrane, plasma membrane]",histone-arginine N-methyltransferase,wildtype GST-PRMT8,concentration,GRGGFGGRGGFRGGRGG-NH2,0.0,2e-06,-,M,GRGGFGGRGGFRGGRGG-NH2;S-Adenosyl-L-methionine,GRGGFGGRGGFRGGRGG-methyl-arginine;S-Adenosyl-L-homocysteine,,,33442;15414;16680,8.0,30.0,,S-Adenosyl-L-methionine + GRGGFGGRGGFRGGRGG-NH2 = S-Adenosyl-L-homocysteine + GRGGFGGRGGFRGGRGG-methyl-arginine,Michaelis-Menten
51861,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,kcat/Km,S-Adenosyl-L-methionine,134.8,,20.5,M^(-1)*s^(-1),WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51863,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,kcat,,0.0025,,1.0E-4,s^(-1),WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51865,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Vmax,,5.5e-08,,1.66667E-9,mol*s^(-1)*g^(-1),WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51867,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,kcat/Km,WGGYSR(omega-N-monomethylarginine)GGYGGW,13.1,,0.03,M^(-1)*s^(-1),WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51869,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Km,WGGYSR(omega-N-monomethylarginine)GGYGGW,0.0001837,,1.23E-5,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51871,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Kd,S-Adenosyl-L-homocysteine,1.65e-05,,1.9E-6,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51873,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-methionine,5e-06,0.00015,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51875,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,WGGYSR(omega-N-monomethylarginine)GGYGGW,2.5e-05,0.00015,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51877,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Km,S-Adenosyl-L-methionine,1.86e-05,,3.3E-6,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51879,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,Enzyme,7.7e-07,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Sequential ordered Bi Bi
51881,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,kcat/Km,WGGYSRGGYGGW,2.9,,0.9,M^(-1)*s^(-1),WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51883,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,Enzyme,7.7e-07,,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51885,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Kd,S-Adenosyl-L-homocysteine,,,-,-,WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51887,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-methionine,5e-06,0.00015,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51889,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Vmax,,3e-08,,5.0E-9,mol*s^(-1)*g^(-1),WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51891,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Km,WGGYSRGGYGGW,0.0005009999999999999,,8.6E-5,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51893,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Km,S-Adenosyl-L-methionine,,,-,-,WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51895,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,WGGYSRGGYGGW,2.5e-05,0.0003,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
51897,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,kcat,,0.0014,,4.0E-4,s^(-1),WGGYSRGGYGGW;S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine;WGGYSR(omega-N-monomethylarginine)GGYGGW,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Sequential ordered Bi Bi
